Rank,Name,Country,Age,Net Worth ($bil)
1,William Gates,United States,51,56
2,Warren Buffett,United States,76,52
3,Carlos Slim Helu,Mexico,67,49
4,Ingvar Kamprad   family,Sweden,80,33
5,Lakshmi Mittal,India,56,32
6,Sheldon Adelson,United States,73,26.5
7,Bernard Arnault,France,58,26
8,Amancio Ortega,Spain,71,24
9,Li Ka-shing,Hong Kong,78,23
10,David Thomson   family,Canada,49,22
11,Lawrence Ellison,United States,62,21.5
12,Liliane Bettencourt,France,84,20.7
13,Prince Alwaleed Bin Talal Alsaud,Saudi Arabia,50,20.3
14,Mukesh Ambani,India,49,20.1
15,Karl Albrecht,Germany,87,20
16,Roman Abramovich,Russia,40,18.7
17,Stefan Persson,Sweden,59,18.4
18,Anil Ambani,India,47,18.2
19,Paul Allen,United States,54,18
20,Theo Albrecht,Germany,84,17.5
21,Azim Premji,India,61,17.1
22,Lee Shau Kee,Hong Kong,79,17
23,Jim Walton,United States,59,16.8
24,Christy Walton   family,United States,52,16.7
24,S. Robson Walton,United States,63,16.7
26,Sergey Brin,United States,33,16.6
26,Larry Page,United States,34,16.6
26,Alice Walton,United States,57,16.6
29,Helen Walton,United States,87,16.4
30,Michael Dell,United States,42,15.8
31,Steven Ballmer,United States,51,15
31,Kirk Kerkorian,United States,89,15
31, Raymond Kwo Thomas Kwok Walter Kwok,Hong Kong,NA,15
34,Francois Pinault,France,70,14.5
35,Suleiman Kerimov,Russia,41,14.4
36,Vladimir Lisin,Russia,50,14.3
37,Jack Taylor   family,United States,84,13.9
38,Vladimir Potanin,Russia,46,13.5
38,Mikhail Prokhorov,Russia,41,13.5
40,Oleg Deripaska,Russia,39,13.3
40,Michael Otto   family,Germany,63,13.3
42,Carl Icahn,United States,71,13
42,Abigail Johnson,United States,45,13
44,Adolf Merckle,Germany,72,12.8
45,Barbara Cox Anthony,United States,83,12.6
45,Anne Cox Chambers,United States,87,12.6
45,Mikhail Fridman,Russia,42,12.6
48,Vagit Alekperov,Russia,56,12.4
49,Charles Koch,United States,71,12
49,David Koch,United States,66,12
51,Silvio Berlusconi   family,Italy,70,11.8
52,Nasser Al-Kharafi   family,Kuwait,63,11.5
52,Leonardo Del Vecchio,Italy,71,11.5
54,Alexei Mordashov,Russia,41,11.2
55,Gerald Cavendish Grosvenor   family,United Kingdom,55,11
55,Spiro Latsis   family,Greece,60,11
55,Birgit Rausing   family,Sweden,83,11
58,Forrest Mars Jr,United States,75,10.5
58,Jacqueline Mars,United States,67,10.5
58,John Mars,United States,70,10.5
61,Viktor Vekselberg,Russia,49,10.4
62,Serge Dassault   family,France,81,10
62,Charles Ergen,United States,54,10
62,Michele Ferrero   family,Italy,80,10
62,Naguib Sawiris,Egypt,52,10
62,Kushal Pal Singh,India,75,10
62,Alain   Gerard Wertheimer,France,NA,10
68,Susanne Klatten,Germany,44,9.6
69,Philip Knight,United States,69,9.5
69,Sunil Mittal   family,India,49,9.5
71,John Kluge,United States,92,9.1
71,Vladimir Yevtushenkov,Russia,58,9.1
73,Rupert Murdoch,United States,76,9
73,Hans Rausing,Sweden,81,9
73,Reinhold Würth,Germany,71,9
76,Ernesto Bertarelli,Switzerland,41,8.8
76,Pierre Omidyar,United States,39,8.8
78,Maria-Elisabeth   Georg Schaeffler,Germany,NA,8.7
79,Rafael del Pino   family,Spain,86,8.6
80,Donald Bren,United States,74,8.5
80,George Kaiser,United States,64,8.5
80,George Soros,United States,76,8.5
83,Nikolai Tsvetkov,Russia,46,8.4
83,August von Finck,Germany,77,8.4
85,Dan Duncan,United States,74,8.2
86,Mohammed Al Amoudi,Saudi Arabia,61,8
86,Abdul Aziz Al Ghurair   family,United Arab Emirates,53,8
86,Kumar Birla,India,39,8
86,German Khan,Russia,45,8
86,Iskander Makhmudov,Russia,43,8
86,Sumner Redstone,United States,83,8
86,Shashi   Ravi Ruia,India,NA,8
93,Philip Anschutz,United States,67,7.9
93,Galen Weston   family,Canada,66,7.9
95,Enrique Bañuelos,Spain,41,7.7
96,Stefan Quandt,Germany,41,7.6
97,Maan Al-Sanea,Saudi Arabia,52,7.5
97,Edward Johnson III,United States,76,7.5
99,Sulaiman Al Rajhi,Saudi Arabia,87,7.4
100,Donald Newhouse,United States,77,7.3
